imdb_id,scene_index,scene_heading,contribution,n_dialogue_in_scene
tt0086927,102,INT. HOTEL LOBBY,0.0,3
tt0086927,103,INT. HOTEL SUITE - NIGHT,0.0,11
tt0086927,104,INT. HOTEL BEDROOM - O'NEILL AND LARRY,0.0,3
tt0086927,105,INT. SUITE - MAIN ROOM,0.0,7
tt0086927,106,INT. JAPANESE SUITE,0.0,9
tt0086927,107,INT. JAPANESE BEDROOM,0.0,1
tt0086927,108,INT. CORRIDOR,0.0,2
tt0086927,109,INT. HOTEL SUITE,0.0,9
tt0086927,110,INT. BEDROOM,0.0,12
tt0086927,111,INT. HOTEL SUITE - MAIN ROOM,0.0,17
tt0086927,112,INT. OTHER BEDROOM,0.0,3
tt0086927,113,INT. SUITE - MAIN ROOM,0.0,0
tt0086927,114,INT. HOTEL CORRIDOR,0.0,1
tt0086927,115,INT. HOTEL SUITE,0.0,2
tt0086927,116,INT. HOTEL CORRIDOR,0.0,1
tt0086927,117,INT. HOTEL LOBBY,0.0,8
tt0086927,118,EXT. HOTEL - MORNING,0.0,3
tt0086927,119,EXT. CITY STREET,0.0,0
tt0086927,120,INT. PORSCHE,0.0,1
tt0086927,121,EXT. CITY STREET,0.0,0
tt0086927,122,INT. RICK'S BUS,0.0,0
tt0086927,123,EXT. HIGHWAY,0.0,0
tt0086927,124,EXT. STREET,0.0,0
tt0086927,125,EXT. MOVIE THEATER PARKING LOT,0.0,3
tt0086927,126,INT. MOVIE THEATER,0.0,3
tt0086927,127,INT. MALL OUTSIDE THEATER,0.0,6
tt0086927,128,EXT. BLUFF - DAY,0.0,20
tt0383028,0,"SYNECDOCHE, NEW YORK by Charlie Kaufman Darkness. The sound of a radio and pots ",0.0,0
tt0383028,1,INT. CADEN AND ADELE'S KITCHEN - FALL 2005 - SAME,0.0,8
tt0383028,2,INT. CADEN AND ADELE'S BATHROOM - FALL 2005 - CONTINUOUS,0.0,8
tt0383028,3,INT. CADEN AND ADELE'S KITCHEN - FALL 2005 - CONTINUOUS,0.0,4
tt0383028,4,INT. CADEN AND ADELE'S BATHROOM - FALL 2005 - CONTINUOUS,0.0,9
tt0383028,5,EXT. CADEN AND ADELE'S HOUSE - FALL 2005 - MORNING,0.0,0
tt0383028,6,INT. CADEN AND ADELE'S KITCHEN - FALL 2005 - MORNING,0.0,22
tt0383028,7,INT. DENTIST'S OFFICE - FALL 2005 - DAY,0.0,2
tt0383028,8,INT. CADEN AND ADELE'S BATHROOM - WINTER 2005 - NIGHT,0.0,10
tt0383028,9,INT. EXAMINATION ROOM - WINTER 2005 - NIGHT,0.0,12
tt0383028,10,INT. CADEN AND ADELE'S CAR - WINTER 2006 - NIGHT,0.0,51
tt0383028,11,INT. OPHTHALMOLOGIST'S OFFICE - WINTER 2006 - DAY,0.0,14
tt0383028,12,INT. SCHENECTADY THEATER - 2006 - DAY,0.0,20
tt0383028,13,INT. SCHENECTADY THEATER LOBBY - 2006 - DAY,0.0,8
tt0383028,14,EXT. SCHENECTADY THEATER - 2006 - DAY,0.0,1
tt0383028,15,INT. SCHENECTADY THEATER BOX OFFICE - 2006 - CONTINUOUS,0.0,9
tt0383028,16,INT. CADEN AND ADELE'S BATHROOM - 2006 - NIGHT,0.0,0
tt0383028,17,INT. CADEN AND ADELE'S BEDROOM - 2006 - NIGHT,0.0,2
tt0383028,18,INT. THERAPIST'S OFFICE - 2006 - DAY,0.0,10
tt0383028,19,EXT. SCHENECTADY THEATER - 2006 - DAY,0.0,15
tt0383028,20,INT. CADEN AND ADELE'S BATHROOM - 2006 - DAY,0.0,13
tt0383028,21,INT. SCHENECTADY THEATER - 2006 - NIGHT,0.0,13
tt0383028,22,"INT. QUINCY'S, BACK ROOM - 2006 - NIGHT",0.0,42
tt0383028,23,INT. HAZEL'S CAR - 2006 - NIGHT,0.0,0
tt0383028,24,EXT. RESIDENTIAL SCHENECTADY STREET - 2006 - A FEW MOMENTS,0.0,2
tt0383028,25,INT. HAZEL'S BATHROOM (APARTMENT) - 2006 - NIGHT,0.0,0
tt0383028,26,"INT. QUINCY'S, BACK ROOM - 2006 - ABOUT DAWN",0.0,3
tt0383028,27,EXT. BURNING HOUSE - 2006 - DAY,0.0,0
tt0383028,28,INT. BURNING HOUSE - 2006 - A FEW MOMENTS LATER,0.0,14
tt0383028,29,INT. ADELE AND CADEN'S LIVING ROOM - 2006 - DAWN,0.0,14
tt0383028,30,EXT. RESIDENTIAL SCHENECTADY STREET - SPRING 2006 - DAY,0.0,10
tt0383028,31,INT. SCHENECTADY POST OFFICE - SPRING 2006 - CONTINUOUS,0.0,14
tt0383028,32,INT. SCHENECTADY THEATER - SPRING 2006 - NIGHT,0.0,4
tt0383028,33,EXT. URBAN-ISH SCHENECTADY STREET - SPRING 2006 - NIGHT,0.0,18
tt0383028,34,INT. CADEN AND ADELE'S LIVING ROOM - SPRING 2006 - MORNING,0.0,0
tt0383028,35,INT. CADEN AND ADELE'S KITCHEN - SPRING 2006 - MORNING,0.0,10
tt0383028,36,INT. CADEN AND ADELE'S BEDROOM - SPRING 2006 - NIGHT,0.0,6
tt0383028,37,INT. SCHENECTADY THEATER BOX OFFICE - 2006 - DAY,0.0,10
tt0383028,38,INT. DENTIST'S OFFICE - 2006 - DAY,0.0,0
tt0383028,39,INT. THERAPIST'S OFFICE - DAY,0.0,15
tt0383028,40,INT. CADEN'S OFFICE - 2006 - NIGHT,0.0,0
tt0383028,41,INT. DENTIST'S OFFICE - 2006 - DAY,0.0,3
tt0383028,42,INT. QUINCY'S - 2007 - NIGHT,0.0,28
tt0383028,43,INT. HAZEL'S CAR - 2007 - NIGHT,0.0,0
tt0383028,44,INT. BURNING HOUSE - KITCHEN - 2007 - NIGHT,0.0,31
tt0383028,45,INT. CADEN AND ADELE'S LIVING ROOM - 2008 - NIGHT,0.0,1
tt0383028,46,A50 INT. ADELE'S BERLIN APARTMENT - 2008 - SAME A50,0.0,8
tt0383028,47,INT. HOSPITAL - 2008 - NIGHT,0.0,2
tt0383028,48,INT. SMALL EXAMINING ROOM - 2008 - CONTINUOUS,0.0,5
tt0383028,49,INT. SCHENECTADY POST OFFICE - WINTER 2008 - DAY,0.0,0
tt0383028,50,INT. CADEN AND ADELE'S LIVING ROOM - WINTER 2008 - NIGHT,0.0,0
tt0383028,51,INT. PERIODONTIST'S OFFICE - WINTER 2008 - DAY,0.0,0
tt0383028,52,INT. SCHENECTADY THEATER LOBBY - WINTER 2008 - NIGHT,0.0,4
tt0383028,53,INT. CADEN'S OFFICE - SPRING 2009 - NIGHT,0.0,1
tt0383028,54,A59 INT. ADELE'S BERLIN APARTMENT - 2009 - SAME A59,0.0,0
tt0383028,55,INT. OLIVE'S ROOM - 2009 - NIGHT,0.0,0
tt0383028,56,INT. CADEN AND ADELE'S LIVING ROOM - 2009 - NIGHT,0.0,0
tt0383028,57,INT. THERAPIST'S OFFICE - 2009 - DAY,0.0,24
tt0383028,58,INT. OLIVE'S ROOM - 2009 - NIGHT,0.0,1
tt0383028,59,INT. SCHENECTADY TOY STORE - 2009 - DAY,0.0,4
tt0383028,60,INT. QUINCY'S - 2009 - DAY,0.0,15
tt0383028,61,"INT. TINY, CRAMPED REHEARSAL HALL - 2009 - DAY",0.0,10
tt0383028,62,INT. CADEN AND ADELE'S BEDROOM - WINTER 2010 - NIGHT,0.0,9
tt0383028,63,INT. QUINCY'S - 2010 - NIGHT,0.0,70
tt0383028,64,EXT. DOWNTOWN SCHENECTADY STREET - WINTER 2010 - NIGHT,0.0,15
tt0383028,65,EXT. CEMETERY - 2010 - DAY,0.0,2
tt0383028,66,INT. CLAIRE'S BEDROOM (SCHENECTADY APT.) - 2010 - DAY,0.0,14
tt0383028,67,EXT. PARK - 2010 - DAY,0.0,1
tt0383028,68,"INT. TINY, CRAMPED REHEARSAL HALL - 2011 - DAY",0.0,5
tt0383028,69,INT. CLAIRE'S KITCHEN (SCHENECTADY APT.) - WINTER 2011 -,0.0,4
tt0383028,70,INT. CLAIRE'S BEDROOM (SCHENECTADY APT.)- WINTER 2011 -,0.0,8
tt0383028,71,INT. CLAIRE'S LIVING ROOM (SCHENECTADY APT.) - WINTER 2011 -,0.0,14
tt0383028,72,INT. PLANE - 2011 - NIGHT,0.0,5
tt0383028,73,EXT. BERLIN STREET - 2011 - DAY,0.0,0
tt0383028,74,INT. GALLERY - 2011 - DAY,0.0,18
tt0383028,75,INT. GERMAN HOSPITAL ROOM - 2015 - DAY,0.0,0
tt0383028,76,INT. PLANE - 2015 - NIGHT,0.0,1
tt0383028,77,EXT. NEW YORK CITY STREET - 2015 - DAY,0.0,4
tt0383028,78,INT. WAREHOUSE - 2015 - DAY,0.0,17
tt0383028,79,EXT. BUS SHELTER (NEAR WAREHOUSE) - 2016 - NIGHT,0.0,0
tt0383028,80,INT. EXAMINATION ROOM - 2017 - NIGHT,0.0,5
tt0383028,81,EXT. NYC STREET - 2017 - DAY,0.0,22
tt0383028,82,A95 EXT. HOTEL TERRACE - 2017 - DAY A95 \*,0.0,0
tt0383028,83,INT. CADEN AND ADELE'S HOUSE - 2017 - NIGHT,0.0,1
tt0383028,84,INT. HALLWAY (CLAIRE'S NYC APT.) - FALL 2018 - NIGHT,0.0,6
tt0383028,85,INT. CLAIRE'S BEDROOM (NYC APARTMENT) - 2018 - NIGHT,0.0,7
tt0383028,86,EXT. CEMETERY - 2018 - DAY,0.0,2
tt0383028,87,EXT. CADEN'S MOTHER'S BACK DECK - 2018 - A FEW MOMENTS,0.0,2
tt0383028,88,A101 INT. BURNING HOUSE - 2018 - SAME A101,0.0,24
tt0383028,89,INT. CLAIRE KITCHEN (NYC APARTMENT) - 2021 - LATE NIGHT,0.0,1
tt0383028,90,EXT. BERLIN STREET - 2022 - DAY,0.0,0
tt0383028,91,INT. LOBBY - 2022 - NIGHT,0.0,0
tt0383028,92,INT. CLAIRE'S BEDROOM (NYC APARTMENT) - 2022 - MORNING,0.0,7
tt0383028,93,EXT. BURNING HOUSE - 2023 - DAY,0.0,12
tt0383028,94,INT. WAREHOUSE - 2023 - DAY,0.0,3
tt0383028,95,INT. HAZEL'S CAR - 2024 - DAY,0.0,1
tt0383028,96,A114 INT. WAREHOUSE - 2024 - SAME A114,0.0,2
tt0383028,97,INT. WAREHOUSE - AUDITION CORNER - 2025 - LATER,0.0,11
tt0383028,98,INT. WAREHOUSE - 2025 - A FEW MOMENTS LATER,0.0,0
tt0383028,99,INT. WAREHOUSE - MEN'S ROOM - 2025 - CONTINUOUS,0.0,7
tt0383028,100,EXT. NYC CITY STREET - 2025 - EVENING,0.0,7
tt0383028,101,INT. CLAIRE'S BEDROOM (NYC APARTMENT) - 2025 - NIGHT,0.0,0
tt0383028,102,EXT. CLAIRE'S FIRE ESCAPE (NYC APARTMENT) - WINTER 2025 -,0.0,21
tt0383028,103,INT. ELEVATOR (31Y BUILDING) - 2026 - MOMENTS LATER,0.0,1
tt0383028,104,INT. 31ST FLOOR HALLWAY (31Y BUILDING) - 2026 - CONTINUOUS,0.0,12
tt0383028,105,INT. 31Y - 2026 - CONTINUOUS,0.0,1
tt0383028,106,INT. 31Y BATHROOM - 2026 - LATER,0.0,0
tt0383028,107,INT. 31Y BEDROOM - 2026 - DAWN,0.0,0
tt0383028,108,EXT. 31Y APARTMENT BUILDING - 2026 - MORNING,0.0,0
tt0383028,109,INT. CLAIRE APARTMENT (NYC APARTMENT) - 2026 - LATER,0.0,4
tt0383028,110,INT. CLAIRE'S BATHROOM (NYC APARTMENT) - 2026 - MORNING,0.0,16
tt0383028,111,INT. ELEVATOR (31Y BUILDING) - 2026 - NIGHT,0.0,1
tt0383028,112,INT. 31Y BEDROOM - 2026 - NIGHT,0.0,1
tt0383028,113,INT. 31Y KITCHEN - 2026 - MORNING,0.0,1
tt0383028,114,INT. WAREHOUSE - CLAIRE'S APARTMENT SET - 2026 - DAY,0.0,22
tt0383028,115,INT. WAREHOUSE - BATHROOM - 2026 - DAY,0.0,0
tt0383028,116,INT. METROPOLITAN MUSEUM OF ART - 2026 - DAY,0.0,0
tt0383028,117,INT. CLAIRE'S KITCHEN (NYC APARTMENT) - 2026 - DAY,0.0,11
tt0383028,118,INT. APARTMENT HALLWAY (CLAIRE'S NYC APT.) - 2026 -,0.0,1
tt0383028,119,INT. CADEN'S APARTMENT - 2026 - CONTINUOUS,0.0,0
tt0383028,120,EXT. CADEN'S APARTMENT BUILDING - 2026 - DAY,0.0,0
tt0383028,121,INT. WAREHOUSE - 2026 - DAY,0.0,0
tt0383028,122,A143 INT. WAREHOUSE - WILL'S OFFICE - 2026 - CONTINUOUS A143,0.0,1
tt0383028,123,INT. WAREHOUSE - CITY SET - 2028 - DAY,0.0,0
tt0383028,124,INT. CADEN'S APARTMENT - 2029 - NIGHT,0.0,0
tt0383028,125,INT. 31Y BEDROOM - 2029 - NIGHT,0.0,1
tt0383028,126,INT. 31Y WALK-IN CLOSET - 2029 - NIGHT,0.0,0
tt0383028,127,INT. 31Y WALK-IN CLOSET - 2029 - LATER,0.0,0
tt0383028,128,A149 EXT. WAREHOUSE STREET (INT. WAREHOUSE SET) - 2031 - A149,0.0,1
tt0383028,129,EXT. CITY STREET (INT. WAREHOUSE-WITHIN-WAREHOUSE) - 2031 -,0.0,14
tt0383028,130,A151 EXT. UNFINISHED BRICK BUILDING (BROOKLYN BRIDGE PARK)(INT. A151,0.0,12
tt0383028,131,EXT. CITY STREETS (INT. WAREHOUSE SET) - 2032 - DAY,0.0,21
tt0383028,132,EXT. CEMETERY - 2032 - DAY,0.0,0
tt0383028,133,INT. CADEN'S MOTHER'S HOUSE - 2032 - DAY,0.0,13
tt0383028,134,EXT. CADEN'S MOTHER'S BACK DECK - 2032 - DAY,0.0,17
tt0383028,135,INT. CADEN'S MOTHER'S BEDROOM - 2032 - LATER,0.0,3
tt0383028,136,INT. CADEN'S CHILDHOOD ROOM - 2032 - LATER,0.0,27
tt0383028,137,INT. CADEN'S CAR - 2032 - MORNING,0.0,7
tt0383028,138,EXT. BURNING HOUSE STREET (INT. WAREHOUSE SET) - 2032 - DAY,0.0,19
tt0383028,139,EXT. CITY STREET (INT. WAREHOUSE SET) - 2032 - DAY,0.0,28
tt0383028,140,INT. ELEVATOR (31Y BUILDING) (INT. WAREHOUSE SET) - 2032 -,0.0,2
tt0383028,141,A165 INT. ELEVATOR SHAFT (31Y BUILDING) (INT. WAREHOUSE SET) - A165,0.0,5
tt0383028,142,B165 INT. ELEVATOR (31Y BUILDING) (INT. WAREHOUSE SET) - 2032 - B165,0.0,36
tt0383028,143,EXT. NYC CEMETERY - 2032 - DAY,0.0,0
tt0383028,144,INT. WAREHOUSE - CEMETERY SET - 2035 - DAY,0.0,2
tt0383028,145,INT. BURNING HOUSE - BEDROOM - 2035 - NIGHT,0.0,21
tt0383028,146,INT. BURNING HOUSE - KITCHEN - 2035 - MORNING,0.0,0
tt0383028,147,INT. BURNING HOUSE - BEDROOM - 2035 - CONTINUOUS,0.0,1
tt0383028,148,INT. CADEN'S CAR - 2041 - DAY,0.0,6
tt0383028,149,INT. NYC HOSPITAL ROOM - 2041 - DAY,0.0,30
tt0383028,150,EXT. NYC STREET - 2045 - DAY,0.0,2
tt0383028,151,EXT. CITY STREET (INT. WAREHOUSE SET) - 2048 - NIGHT,0.0,7
tt0383028,152,INT. NYC WIG STORE - 2050 - DAY,0.0,8
tt0383028,153,INT. WAREHOUSE - CEMETERY SET - 2050 - DAY,0.0,11
tt0383028,154,EXT. BURNING HOUSE STREET (INT. WAREHOUSE SET) - 2050 -,0.0,14
tt0383028,155,INT. 31Y WALK-IN CLOSET (INT. WAREHOUSE SET) - 2050 - NIGHT,0.0,1
tt0383028,156,INT. 31Y HALLWAY (INT. WAREHOUSE SET) - 2050 - NIGHT,0.0,9
tt0383028,157,INT. 31Y WALK-IN CLOSET (INT. WAREHOUSE SET) - 2050 - NIGHT,0.0,1
tt0383028,158,INT. ELLEN'S KITCHEN - (2050) - MORNING,0.0,3
tt0383028,159,INT. ELLEN'S BEDROOM - (2050) - MORNING,0.0,0
tt0383028,160,EXT. FIELD - (2050) - DAY,0.0,4
tt0383028,161,INT. 31Y WALK-IN CLOSET (INT. WAREHOUSE SET) - 2050 -,0.0,2
tt0383028,162,INT. 31Y BATHROOM (INT. WAREHOUSE SET) - 2050 - MORNING,0.0,0
tt0383028,163,INT. APARTMENT 31Y (INT. WAREHOUSE SET) - 2051 - MORNING,0.0,1
tt0383028,164,INT. 31Y WALK-IN CLOSET (INT. WAREHOUSE SET) - 2051 - NIGHT,0.0,1
tt0383028,165,INT. 31Y WALK-IN CLOSET (INT. WAREHOUSE SET) - 2051 -,0.0,4
tt0383028,166,INT. 31Y WALK-IN CLOSET (INT. WAREHOUSE SET) - 2053 - NIGHT,0.0,0
tt0383028,167,INT. 31Y WALK-IN CLOSET (INT. WAREHOUSE SET) - 2055 - DAY,0.0,0
tt0383028,168,INT. 31Y HALLWAY (INT. WAREHOUSE SET) - 2055 - NIGHT,0.0,0
tt0383028,169,INT. WAREHOUSE - 31Y BUILDING STAIRWELL - 2055 - CONTINUOUS,0.0,0
tt0383028,170,EXT. CITY STREET (INT. WAREHOUSE SET) - 2055 - MORNING,0.0,0
tt0383028,171,A199 EXT. BURNING HOUSE (INT. WAREHOUSE SET) - 2055 - MORNING A199,0.0,0
tt0383028,172,B199 EXT. WAREHOUSE STREET (INT. WAREHOUSE SET) - 2055 - MORNINGB199,0.0,0
tt0383028,173,EXT. CITY STREET (INT. WAREHOUSE-WITHIN-WAREHOUSE SET) -,0.0,1
tt0383028,174,A200 EXT. WAREHOUSE STREET (INT. WAREHOUSE-WITHIN-WAREHOUSE SET)A200,0.0,1
tt0383028,175,EXT. CITY STREET (INT. WAREHOUSE-WITHIN-WAREHOUSE-WITHIN-,0.0,1
tt0383028,176,A201 EXT. WAREHOUSE STREET (INT. WAREHOUSE-WITHIN-WAREHOUSE- A201,0.0,2
tt0383028,177,EXT. BEACH (INT. WAREHOUSE-WITHIN-WAREHOUSE-WITHIN-,0.0,18
tt0167260,0,Screenplay by Fran Walsh & Philippa Boyens & Peter Jackson Based on the novels b,0.0,1
tt0167260,1,EXT. RIVER ANDUIN - DAY,0.0,4
tt0167260,2,"EXT. UNDERWATER, RIVER ANDUIN - DAY",0.0,0
tt0167260,3,"EXT. RIVER ANDUIN, GLADDEN FIELDS - DAY",0.0,4
tt0167260,4,INT. MISTY MOUNTAINS CAVES - DAY,0.0,5
tt0167260,5,"EXT. CULVERT, VALE OF MORGUL - DAWN",0.0,16
tt0167260,6,"EXT. CULVERT, VALE OF MORGUL - DAY",0.0,1
tt0167260,7,EXT. THE FOREST OF ISENGARD - DAY,0.0,0
tt0167260,8,EXT. ISENGARD GATE - DAY,0.0,16
tt0167260,9,EXT. EDORAS - DAY,0.0,0
tt0167260,10,"INT. EDORAS, GOLDEN HALL - EVENING",0.0,16
tt0167260,11,EXT. MORGUL VALLEY - NIGHT,0.0,42
tt0167260,12,"EXT. EDORAS, GOLDEN HALL - EARLY DAWN",0.0,2
tt0167260,13,"INT. EDORAS, SLEEPING QUARTERS - EARLY DAWN",0.0,7
tt0167260,14,EXT. EDORAS GOLDEN HALL - EARLY DAWN,0.0,1
tt0167260,15,"INT. EDORAS, SLEEPING QUARTERS - NIGHT",0.0,13
tt0167260,16,"INT. EDORAS, GOLDEN HALL - DAY",0.0,16
tt0167260,17,EXT. EDORAS STREETS - DAWN,0.0,9
tt0167260,18,INT. EDORAS STABLES - DAWN,0.0,11
tt0167260,19,EXT. EDORAS GATES LOOK-OUT - DAY,0.0,0
tt0167260,20,EXT. RIVENDELL FOREST - DAY,0.0,5
tt0167260,21,EXT. RIVENDELL - DAY,0.0,0
tt0167260,22,"EXT. ELROND'S BALCONY, RIVENDELL - DAY",0.0,14
tt0167260,23,"INT. ARWEN'S CHAMBER, RIVENDELL - NIGHT",0.0,5
tt0167260,24,EXT. FOOTHILLS OF WHITE MOUNTAINS - NIGHT,0.0,0
tt0167260,25,EXT. FOOTHILLS OF WHITE MOUNTAINS - DAY,0.0,1
tt0167260,26,EXT. MINAS TIRITH - DAWN,0.0,1
tt0167260,27,EXT. MINAS TIRITH STREETS - DAY,0.0,0
tt0167260,28,"EXT. MINAS TIRITH, COURT OF THE KINGS - DAY",0.0,6
tt0167260,29,INT. MINAS TIRITH TOWER HALL - DAY,0.0,15
tt0167260,30,"INT. MINAS TIRITH, PIPPIN'S QUARTERS - NIGHT",0.0,3
tt0167260,31,EXT. MINAS TIRITH BALCONY - NIGHT,0.0,18
tt0167260,32,EXT. MINAS MORGUL - NIGHT,0.0,11
tt0167260,33,EXT. MINAS TIRITH BALCONY - NIGHT,0.0,0
tt0167260,34,EXT. MINAS MORGUL - NIGHT,0.0,1
tt0167260,35,EXT. MINAS TIRITH BATTLEMENTS - NIGHT,0.0,0
tt0167260,36,EXT. MINAS MORGUL - NIGHT,0.0,1
tt0167260,37,EXT. MINAS TIRITH BALCONY - NIGHT,0.0,1
tt0167260,38,EXT. MINAS MORGUL - NIGHT,0.0,2
tt0167260,39,EXT. MINAS TIRITH BALCONY - NIGHT,0.0,1
tt0167260,40,EXT. MINAS TIRITH SIXTH LEVEL - NIGHT,0.0,2
tt0167260,41,"EXT. WEST OSGILIATH, RIVER ANDUIN - NIGHT",0.0,1
tt0167260,42,"EXT. WEST OSGILIATH, RIVER ANDUIN - NIGHT",0.0,3
